etl_dv_tbl_id|rqr_etl_dv_tbl_id
891|1
876|3
877|870
896|881
877|874
883|872
877|1
893|870
886|873
878|874
897|882
876|1
882|23
892|877
895|870
892|874
888|874
894|879
895|872
891|876
892|3
895|874
898|883
889|875
882|875
890|872
881|872
880|870
879|870
887|873
877|3
894|870
884|871
879|873
893|874
898|872
895|880
892|1
893|878
892|870
878|870
885|870
896|872
891|3
897|23
880|874
881|874
897|875
880|872
883|351
898|351
882|91
882|86
882|70
882|59
882|79
882|63
897|91
897|86
897|70
897|59
897|79
897|63
883|900
898|900
