etl_dv_tbl_id|rqr_etl_dv_tbl_id
864|863
858|796
858|846
858|847
858|771
858|831
866|865
868|867
901|869
751|771
751|784
752|750
753|771
753|784
753|764
754|771
754|831
754|862
754|861
755|769
755|784
756|831
756|826
756|796
756|771
756|810
756|791
756|841
756|806
757|805
757|831
757|2
757|862
757|13
757|11
757|1
757|803
758|851
758|831
758|811
758|854
758|771
758|796
758|813
759|831
759|803
759|11
759|2
759|771
759|770
759|1
759|13
762|760
764|803
764|1
764|771
764|862
764|2
766|787
766|2
766|1
766|816
766|771
767|765
768|831
768|862
768|1
768|2
768|803
769|803
769|1
769|771
769|2
769|862
770|831
770|1
770|2
770|803
770|771
772|770
772|763
772|774
772|761
772|776
773|771
774|761
775|786
776|763
780|778
781|811
781|854
781|851
781|857
781|771
783|787
783|2
783|1
783|771
783|803
783|862
784|782
785|771
785|816
787|771
787|816
788|777
789|800
790|861
790|771
791|802
792|779
794|771
794|790
794|775
794|788
794|787
794|826
794|792
796|831
796|771
797|862
798|771
798|796
798|813
798|854
798|831
798|811
798|851
801|799
805|803
806|804
808|793
810|795
812|799
813|811
814|812
815|818
816|771
818|803
818|862
818|2
818|1
819|817
820|803
820|1
820|2
821|857
821|771
821|780
822|820
823|771
823|780
823|857
825|859
825|831
825|780
826|824
827|2
827|803
827|1
827|862
828|765
828|827
828|767
829|816
829|780
829|778
829|862
832|830
833|852
833|831
836|843
837|835
838|771
838|816
839|834
840|771
840|847
840|831
840|846
841|771
841|861
841|831
845|831
845|841
845|832
845|836
845|771
845|796
845|826
845|837
846|844
847|842
848|771
848|796
848|831
849|831
849|853
849|771
849|796
849|855
851|854
852|850
855|853
856|771
856|816
856|764
857|771
859|831
838|859
903|902
