"ETL_DV_TBL_ID"|"dv_tbl_nm"
181|acct_pgm_rh
182|acct_pgm_rs
183|adm_area_pymt_lmt_rs
184|cmb_prdr_acct_h
185|cmb_prdr_acct_loc_area_l
186|cmb_prdr_acct_loc_area_ls
187|cmb_prdr_acct_mbr_aloc_l
188|cmb_prdr_acct_mbr_aloc_ls
189|cmb_prdr_acct_mbr_l
190|cmb_prdr_acct_mbr_ls
191|cmb_prdr_acct_prd_l
192|cmb_prdr_acct_prd_ls
193|cmb_prdr_acct_prnt_l
194|cmb_prdr_acct_prnt_ls
195|cmb_prdr_acct_s
196|core_cust_gen_elg_det_s
197|core_cust_h
198|core_cust_loc_area_prd_elg_l
199|core_cust_loc_area_prd_elg_ls
200|core_cust_prd_elg_det_ls
201|core_cust_prd_elg_l
202|core_cust_prd_elg_ls
203|core_cust_prd_irs_l
204|core_cust_prd_irs_ls
205|core_cust_rpt_loc_area_l
206|core_cust_rpt_loc_area_ls
207|core_cust_s
208|dist_pymt_lmt_rs
209|irs_agi_elg_err_cat_rh
210|irs_agi_elg_err_cat_rs
211|irs_agi_elg_err_type_rh
212|irs_agi_elg_err_type_rs
213|mnr_otly_area_pymt_lmt_rs
214|otly_area_pymt_lmt_rs
215|pgm_rcd_ref_type_l
216|pgm_rcd_ref_type_ls
217|pgm_yr_sbsd_prd_rs
409|prdr_pgm_pymt_lmt_adj_l
410|prdr_pgm_pymt_lmt_adj_ls
407|prdr_pgm_pymt_lmt_adj_type_rh
408|prdr_pgm_pymt_lmt_adj_type_rs
218|pymt_pgm_prd_l
219|pymt_pgm_prd_parm_ls
220|pymt_pgm_rh
221|pymt_pgm_rs
222|sbsd_loc_area_rs
223|st_pymt_lmt_rs
